City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Chenzhou,25.8,113.0333,64.76,83,100,6.15,CN,1633660180
Los Negros,-17.7333,-63.4333,72.95,63,47,3.38,BO,1633660181
Flin Flon,54.7682,-101.865,44.33,46,5,5.7,CA,1633660183
Punta Arenas,-53.15,-70.9167,44.71,61,0,17.27,CL,1633660185
Gawler,-34.6,138.7333,71.22,31,100,11.14,AU,1633660187
Praia da Vitória,38.7333,-27.0667,66.76,94,20,4.23,PT,1633660189
Mar del Plata,-38.0023,-57.5575,51.13,67,0,1.01,AR,1633659894
Vaini,-21.2,-175.2,82.56,78,20,5.75,TO,1633660173
Tasiilaq,65.6145,-37.6368,32.16,53,19,8.9,GL,1633660194
Jamestown,42.097,-79.2353,66.29,90,90,1.99,US,1633660122
Cape Town,-33.9258,18.4232,59.09,63,75,16.11,ZA,1633660140
Voh,-20.9667,164.7,80.26,48,0,9.19,NC,1633660200
Mahébourg,-20.4081,57.7,67.24,94,75,5.75,MU,1633660157
Arraial do Cabo,-22.9661,-42.0278,69.04,74,100,17.65,BR,1633660203
Bontang,0.1333,117.5,86.63,62,52,9.93,ID,1633660205
Nikolskoye,59.7035,30.7861,51.4,67,100,6.42,RU,1633660207
Lábrea,-7.2586,-64.7981,74.57,92,84,3.24,BR,1633660210
Tiksi,71.6872,128.8694,26.35,85,100,18.77,RU,1633660177
Manavālakurichi,8.1333,77.3,78.89,79,89,10.58,IN,1633660213
Saint George,37.1041,-113.5841,75.79,42,1,1.99,US,1633660215
Hamilton,39.1834,-84.5333,70.99,92,90,0.0,US,1633660217
Port Elizabeth,-33.918,25.5701,68.29,52,0,19.57,ZA,1633660219
Kavieng,-2.5744,150.7967,84.02,68,83,3.38,PG,1633660198
Yulara,-25.2406,130.9889,84.04,28,0,5.75,AU,1633660223
Ushuaia,-54.8,-68.3,46.06,46,75,17.27,AR,1633660225
Barrow,71.2906,-156.7887,32.02,80,90,8.05,US,1633660227
Mil'kovo,54.7167,158.6167,45.01,39,98,12.08,RU,1633660229
Mataura,-46.1927,168.8643,55.47,59,100,5.91,NZ,1633660163
Camacha,33.0833,-16.3333,67.42,73,40,5.75,PT,1633660232
Saint Paul Harbor,57.79,-152.4072,49.51,76,1,5.75,US,1633660234
Norman Wells,65.282,-126.8329,30.24,93,90,3.44,CA,1633660237
Ilām,26.9167,87.9167,73.04,83,47,1.45,NP,1633660239
Rikitea,-23.1203,-134.9692,73.83,74,25,9.75,PF,1633660241
Hermanus,-34.4187,19.2345,56.89,76,0,8.1,ZA,1633660243
Fairbanks,64.8378,-147.7164,38.3,95,90,3.44,US,1633660245
Hobart,-42.8794,147.3294,66.06,51,40,4.0,AU,1633660247
Sur,22.5667,59.5289,83.52,52,1,3.15,OM,1633660249
Carmo do Paranaíba,-19.0008,-46.3161,65.8,84,12,2.26,BR,1633660250
Lagoa,39.05,-27.9833,68.36,73,5,7.36,PT,1633660252
São Filipe,14.8961,-24.4956,79.23,78,21,5.21,CV,1633660254
Qaanaaq,77.484,-69.3632,23.58,65,100,7.25,GL,1633660256
Iranduba,-3.2847,-60.1861,79.12,85,45,1.63,BR,1633660258
Nanortalik,60.1432,-45.2371,38.21,61,89,3.76,GL,1633660233
